31;1;[ 31, 31, 31, 31 ];0.64;51;FastAbelian;{[ $.1^3, $.1^4, $.1^27, $.1^28 ]:[ $.1^10, $.1^30, $.1^25, $.1^28 ]:[ $.1^30, $.1^23, $.1^12, $.1^28 ]:[ $.1^27, $.1^8, $.1^8, $.1^19 ]:[ $.1^2, $.1^2, $.1^29, $.1^29 ]:[ $.1^23, $.1^23, $.1^28, $.1^19 ]:[ $.1^21, $.1^11, $.1^24, $.1^6 ]:[ $.1^13, $.1^15, $.1^16, $.1^18 ]:[ $.1^10, $.1^10, $.1^23, $.1^19 ]:[ $.1^21, $.1^22, $.1^22, $.1^28 ]:[ $.1^10, $.1^21, $.1^22, $.1^9 ]:[ $.1^2, $.1^25, $.1^27, $.1^8 ]:[ $.1^10, $.1^11, $.1^4, $.1^6 ]:[ $.1^12, $.1^25, $.1^6, $.1^19 ]:[ $.1^3, $.1^26, $.1^27, $.1^6 ]:[ $.1^21, $.1^2, $.1^13, $.1^26 ]:[ $.1^21, $.1^3, $.1^3, $.1^4 ]:[ $.1^2, $.1^14, $.1^26, $.1^20 ]:[ $.1^2, $.1^3, $.1^28, $.1^29 ]:[ $.1^10, $.1^11, $.1^3, $.1^7 ]:[ $.1^21, $.1^26, $.1^26, $.1^20 ]:[ $.1^30, $.1^3, $.1^14, $.1^15 ]:[ $.1^10, $.1^5, $.1^8, $.1^8 ]:[ $.1^11, $.1^30, $.1^25, $.1^27 ]:[ $.1^3, $.1^25, $.1^15, $.1^19 ]:[ $.1^2, $.1^5, $.1^27, $.1^28 ]:[ $.1^13, $.1^4, $.1^26, $.1^19 ]:[ $.1^21, $.1^2, $.1^14, $.1^25 ]:[ $.1^14, $.1^15, $.1^16, $.1^17 ]:[ $.1^13, $.1^24, $.1^28, $.1^28 ]:[ $.1^14, $.1^25, $.1^4, $.1^19 ]:[ $.1^12, $.1^4, $.1^26, $.1^20 ]:[ $.1^3, $.1^14, $.1^26, $.1^19 ]:[ $.1^3, $.1^3, $.1^17, $.1^8 ]:[ $.1^24, $.1^15, $.1^27, $.1^27 ]:[ $.1^13, $.1^14, $.1^17, $.1^18 ]:[ $.1^10, $.1^30, $.1^26, $.1^27 ]:[ $.1^30, $.1^13, $.1^3, $.1^16 ]:[ $.1^21, $.1^12, $.1^25, $.1^4 ]:[ $.1^28, $.1^28, $.1^29, $.1^8 ]:[ $.1^12, $.1^2, $.1^13, $.1^4 ]:[ $.1^6, $.1^29, $.1^29, $.1^29 ]:[ $.1^11, $.1^5, $.1^7, $.1^8 ]:[ $.1^13, $.1^25, $.1^4, $.1^20 ]:[ $.1^3, $.1^25, $.1^27, $.1^7 ]:[ $.1^13, $.1^16, $.1^16, $.1^17 ]:[ $.1^10, $.1^10, $.1^4, $.1^7 ]:[ $.1^16, $.1^27, $.1^18, $.1 ]}
25;2;[ 5, 5, 5, 5, 5 ];0.6;51;FastAbelian;{[ $.2^2, $.1^2 * $.2^3, $.1, $.1, $.1 ]:[ $.2, $.1^3 * $.2, $.1^3 * $.2^2, $.1^3 * $.2^2, $.1 * $.2^4 ]:[ $.1^4 * $.2^3, $.1, $.1, $.1 * $.2^3, $.1^3 * $.2^4 ]:[ $.1^2, $.1^4 * $.2^2, $.1^4 * $.2^3, $.1^2 * $.2^3, $.1^3 * $.2^2 ]:[ $.1^4 * $.2, $.1^4 * $.2^2, $.1^4 * $.2^4, $.1^4 * $.2^3, $.1^4 ]:[ $.1^4 * $.2^3, $.2^2, $.2, $.2^4, $.1 ]:[ $.1, $.1, $.1 * $.2, $.1^3 * $.2^4, $.1^4 ]:[ $.1^2 * $.2, $.1^4 * $.2^2, $.1^2 * $.2^2, $.1^4 * $.2^3, $.1^3 * $.2^2 ]:[ $.1^4 * $.2, $.2^4, $.1 * $.2^2, $.1 * $.2^3, $.1^4 ]:[ $.1^2 * $.2, $.2^3, $.1 * $.2, $.1 * $.2, $.1 * $.2^4 ]:[ $.1^2, $.1^2 * $.2, $.1^2 * $.2^3, $.1^3, $.1 * $.2 ]:[ $.2^2, $.2^2, $.1^2 * $.2^3, $.1^2 * $.2^3, $.1 ]:[ $.1^4 * $.2^2, $.1^2 * $.2^3, $.1^3 * $.2^2, $.1^3 * $.2^4, $.1^3 * $.2^4 ]:[ $.1^4 * $.2, $.1^3, $.1^3 * $.2^2, $.1 * $.2^2, $.1^4 ]}
29;1;[ 29, 29, 29, 29 ];0.56;51;FastAbelian;{[ $.1^11, $.1^4, $.1^6, $.1^8 ]:[ $.1^21, $.1^28, $.1^12, $.1^26 ]:[ $.1^11, $.1^5, $.1^6, $.1^7 ]:[ $.1^22, $.1^25, $.1^25, $.1^15 ]:[ $.1^12, $.1^13, $.1^16, $.1^17 ]:[ $.1^21, $.1^22, $.1^24, $.1^20 ]:[ $.1^28, $.1^28, $.1^13, $.1^18 ]:[ $.1^10, $.1^21, $.1^8, $.1^19 ]:[ $.1^24, $.1^24, $.1, $.1^9 ]:[ $.1^13, $.1^13, $.1^14, $.1^18 ]:[ $.1^21, $.1^22, $.1^6, $.1^9 ]:[ $.1^11, $.1^8, $.1^19, $.1^20 ]:[ $.1^23, $.1^2, $.1^2, $.1^2 ]:[ $.1^12, $.1^2, $.1^25, $.1^19 ]:[ $.1^28, $.1^28, $.1^24, $.1^7 ]:[ $.1^22, $.1^23, $.1^4, $.1^9 ]:[ $.1^21, $.1^8, $.1^9, $.1^20 ]:[ $.1^23, $.1^6, $.1^9, $.1^20 ]:[ $.1^10, $.1^21, $.1^23, $.1^4 ]:[ $.1^5, $.1^17, $.1^17, $.1^19 ]:[ $.1^13, $.1^26, $.1, $.1^18 ]:[ $.1^21, $.1^3, $.1^17, $.1^17 ]:[ $.1^12, $.1^12, $.1^17, $.1^17 ]:[ $.1^12, $.1^2, $.1^2, $.1^13 ]:[ $.1^28, $.1^2, $.1^13, $.1^15 ]:[ $.1^10, $.1^23, $.1^27, $.1^27 ]:[ $.1^28, $.1^12, $.1^14, $.1^4 ]:[ $.1^21, $.1^24, $.1^5, $.1^8 ]:[ $.1^10, $.1^11, $.1^2, $.1^6 ]:[$.1^21, $.1^11, $.1^7, $.1^19 ]:[ $.1^11, $.1^24, $.1^3, $.1^20 ]:[ $.1^28, $.1^14, $.1^26, $.1^19 ]:[ $.1^21, $.1^21, $.1^12, $.1^4 ]:[ $.1^11, $.1^3, $.1^6, $.1^9 ]:[ $.1^23, $.1^24, $.1^5, $.1^6 ]:[ $.1^23, $.1^23, $.1^15, $.1^26 ]:[ $.1^10, $.1^22, $.1^6, $.1^20 ]:[ $.1^10, $.1^19, $.1^9, $.1^20 ]:[ $.1^10, $.1^4, $.1^6, $.1^9 ]:[ $.1^28, $.1^25, $.1^15, $.1^19 ]:[ $.1^14, $.1^25, $.1, $.1^18 ]:[ $.1^3, $.1^4, $.1^4, $.1^18 ]:[ $.1^11, $.1^22, $.1^5, $.1^20 ]}
64;2;[ 8, 8, 8 ];0.53;51;FastAbelian;{[ $.1, $.1 * $.2 * $.3 * $.4 * $.5, $.2 * $.6 ]}
87;1;[ 3, 29, 87 ];0.49;32;FastAbelian;{[ $.1 * $.2^27, $.1^2, $.2^2 ]}
196;12;[ 2, 7, 14 ];0.47;32;FastAbelian;{}
53;1;[ 53, 53, 53 ];0.45;51;FastAbelian;{[ $.1^11, $.1^13, $.1^29 ]:[ $.1^15, $.1^8, $.1^30 ]:[ $.1^10, $.1^35, $.1^8 ]:[ $.1^37, $.1^7, $.1^9 ]:[ $.1^11, $.1^47, $.1^48 ]:[ $.1^11, $.1^23, $.1^19 ]:[ $.1^21, $.1^23, $.1^9 ]:[ $.1^24, $.1^41, $.1^41 ]:[ $.1^21, $.1^24, $.1^8 ]}
162;23;[ 2, 9, 18 ];0.43;32;FastAbelian;{}
144;101;[ 2, 12, 12 ];0.42;32;FastAbelian;{}
87;1;[ 3, 87, 87 ];0.41;32;FastAbelian;{[ $.1 * $.2^28, $.1, $.1 * $.2 ]}
